--------------------------------------------------
### Mass point displacement & velocity record ####
--------------------------------------------------
| StepNo | StepAccumTime | DisplAccum | Velo |    
--------------------------------------------------
197	0.196	-3.07951e-07	0.000893465
198	0.197	5.78382e-07	0.000791281
199	0.198	1.32132e-06	0.000625142
200	0.199	1.8656e-06	0.000417064
201	0.2	2.18012e-06	0.000190784
202	0.201	2.25849e-06	-3.06374e-05
203	0.202	2.11711e-06	-0.000226918
204	0.203	1.79133e-06	-0.000382173
205	0.204	1.33026e-06	-0.000485962
206	0.205	7.90768e-07	-0.000533725
207	0.206	2.31342e-07	-0.000526614
208	0.207	-2.93529e-07	-0.000470816
209	0.208	-7.38082e-07	-0.00037646
210	0.209	-1.06869e-06	-0.000256276
211	0.21	-1.26579e-06	-0.000124137
212	0.211	-1.32433e-06	6.36024e-06
213	0.212	-1.25274e-06	0.000123137
214	0.213	-1.07082e-06	0.000216619
215	0.214	-8.06747e-07	0.000280379
216	0.215	-4.93544e-07	0.000311424
217	0.216	-1.65538e-07	0.000310131
218	0.217	1.45014e-07	0.000279874
219	0.218	4.10731e-07	0.000226404
220	0.219	6.11195e-07	0.000157072
221	0.22	7.34163e-07	7.99766e-05
222	0.221	7.75891e-07	3.13129e-06
223	0.222	7.40634e-07	-6.628e-05
224	0.223	6.39442e-07	-0.000122493
225	0.224	4.88439e-07	-0.000161562
226	0.225	3.06799e-07	-0.000181546
227	0.226	1.14644e-07	-0.000182488
228	0.227	-6.89428e-08	-0.000166216
229	0.228	-2.276e-07	-0.000135988
230	0.229	-3.4895e-07	-9.60416e-05
231	0.23	-4.25361e-07	-5.11026e-05
232	0.231	-4.54184e-07	-5.88877e-06
233	0.232	-4.375e-07	3.53307e-05
234	0.233	-3.81451e-07	6.90906e-05
235	0.234	-2.95254e-07	9.2974e-05
236	0.235	-1.90026e-07	0.000105733
237	0.236	-7.75534e-08	0.000107291
238	0.237	3.08841e-08	9.86261e-05
239	0.238	1.2552e-07	8.15804e-05
240	0.239	1.98863e-07	5.85957e-05
241	0.24	2.46175e-07	3.24254e-05
242	0.241	2.65635e-07	5.84491e-06
243	0.242	2.58218e-07	-1.86109e-05
244	0.243	2.27323e-07	-3.88614e-05
245	0.244	1.78209e-07	-5.34298e-05
246	0.245	1.17316e-07	-6.15208e-05
247	0.246	5.15404e-08	-6.30267e-05
248	0.247	-1.24555e-08	-5.84685e-05
249	0.248	-6.88473e-08	-4.88836e-05
